id_transaksi,id_rekening,nama,alamat,jumlah_pinjaman,pendapatan_bulanan,usia_nasabah,status_pekerjaan,Credit_Score,riwayat_kredit,tanggal_data
1,926877591,Bert Bugden,3 Mccormick Center,7000000,6000000,36,karyawan_swasta,732,baik,2024-12-02
2,916919299,Nico Gentil,92 Sherman Trail,8000000,7000000,36,karyawan_swasta,663,baik,2025-06-13
3,929973272,Melicent Filipowicz,34 Grover Plaza,5000000,6000000,43,wirausaha,750,buruk,2025-09-14
4,924326792,Bronson Cohane,9 Stone Corner Way,6000000,7000000,22,wirausaha,692,buruk,2025-06-27
5,934157010,Leshia Tickle,621 Nancy Court,6000000,7000000,61,wirausaha,624,baik,2025-04-18
6,937803805,Alissa Kirkebye,43 Hudson Road,7000000,6000000,29,karyawan_swasta,766,baik,2025-04-18
7,928020362,Sharity Burdell,08 Nova Lane,12000000,14000000,22,wirausaha,735,baik,2024-12-25
8,965890196,Jami Dove,21 Upham Lane,16000000,19000000,29,karyawan_swasta,676,baik,2025-05-02
9,926209341,Cariotta Vezey,592 Vahlen Trail,10000000,12000000,35,wirausaha,621,baik,2025-06-13
10,954059002,Vonnie Parren,78344 Drewry Trail,6000000,7000000,72,karyawan_swasta,780,baik,2025-01-30
11,976099354,Quintus Hew,86 Lukken Drive,11000000,9000000,31,wirausaha,783,baik,2025-07-07
12,916802112,Lidia Oxbe,20 Warner Avenue,10000000,12000000,57,wirausaha,533,baik,2024-10-22
13,916817225,Daria Rothermel,2377 Dovetail Pass,9000000,10000000,50,wirausaha,741,baik,2025-02-17
14,997555478,Gwenora Micah,92 Heath Court,13000000,11000000,47,karyawan_swasta,608,buruk,2025-03-11
15,946023893,Dorris Ebbens,363 Steensland Park,12000000,13000000,30,karyawan_swasta,596,baik,2024-12-30
16,979124160,Jarvis Postins,5458 Tennyson Road,10000000,11000000,42,wirausaha,654,baik,2025-01-11
17,964896795,Jana Chumley,15 Farmco Way,10000000,11000000,25,karyawan_swasta,765,baik,2025-08-08
18,900195235,Jacquetta Grimsdike,223 Pankratz Lane,10000000,11000000,24,pns,803,baik,2025-07-26
19,924498864,Anatollo Sweeting,0039 Arapahoe Circle,6000000,5000000,28,karyawan_swasta,720,baik,2025-08-14
20,901987054,Christel Cabbell,62482 Longview Trail,8000000,9000000,34,karyawan_swasta,649,baik,2025-08-13
21,996261356,Dannie Divill,477 Nelson Junction,9000000,11000000,39,pns,593,baik,2024-11-23
22,921271130,Philippa Karpenko,0 Washington Plaza,12000000,14000000,38,karyawan_swasta,594,buruk,2024-12-31
23,948349697,Beverlee Elsom,403 Forster Alley,9000000,10000000,33,wirausaha,745,baik,2024-12-07
24,923022183,Anna Smitton,4 8th Parkway,11000000,13000000,31,wirausaha,650,buruk,2024-12-05
25,936346978,Gilberta Matthiae,3 Hayes Parkway,10000000,11000000,42,karyawan_swasta,754,baik,2025-01-25
26,930025727,Tiffanie Comello,5 Surrey Lane,6000000,7000000,18,karyawan_swasta,625,baik,2025-03-07
27,994344529,Lorianna Sjostrom,65 Stoughton Alley,9000000,10000000,23,wirausaha,767,baik,2025-04-14
28,929231289,Portia Skrine,8358 Banding Crossing,10000000,12000000,62,karyawan_swasta,770,baik,2025-02-09
29,990760464,Barbee Wattinham,9427 Homewood Terrace,10000000,11000000,56,wirausaha,669,baik,2025-03-06
30,915224148,Daile Ussher,84642 Myrtle Avenue,7000000,8000000,34,wirausaha,711,baik,2025-04-10
31,963118674,Melissa McDonell,08626 American Pass,10000000,12000000,33,wirausaha,798,buruk,2024-11-30
32,933176553,Camel Keen,61 Mockingbird Drive,9000000,10000000,40,wirausaha,657,baik,2024-10-27
33,949785309,Kahlil Lambirth,79652 Cascade Drive,13000000,15000000,56,wirausaha,805,baik,2024-12-26
34,971407709,Saree Sturror,11 Kipling Avenue,9000000,8000000,47,wirausaha,663,baik,2025-03-29
35,960590998,Ephraim Kolodziejski,04352 Charing Cross Crossing,12000000,14000000,38,wirausaha,646,baik,2025-04-08
36,926662115,Marve Crawshay,6 Artisan Circle,8000000,7000000,29,wirausaha,681,baik,2024-11-21
37,911246841,Olimpia Castletine,261 Goodland Lane,9000000,10000000,23,wirausaha,635,baik,2024-11-18
38,983396407,Carissa Restill,236 Graceland Point,8000000,9000000,47,wirausaha,742,baik,2024-11-15
39,915653686,Evered Lindhe,783 Farragut Terrace,17000000,14000000,33,karyawan_swasta,850,baik,2025-05-05
40,981603305,Casar Trowell,4858 Bellgrove Crossing,10000000,11000000,34,karyawan_swasta,741,baik,2025-03-02
41,923076812,Shela Shave,9144 Jenna Place,5000000,6000000,18,karyawan_swasta,698,buruk,2025-03-28
42,926460556,Lydie Ellen,5356 Surrey Court,11000000,13000000,38,pns,592,baik,2025-01-26
43,928454525,Melantha Rice,5374 Hauk Pass,5000000,6000000,30,wirausaha,788,baik,2024-09-29
44,916720740,Raynard Andrivel,945 Bay Alley,13000000,11000000,34,wirausaha,850,baik,2025-05-11
45,947826033,Luise Saberton,42141 Talmadge Avenue,16000000,18000000,49,wirausaha,830,baik,2025-02-15
46,979092974,Marna Adolphine,7263 Namekagon Junction,9000000,11000000,21,wirausaha,658,baik,2024-12-20
47,979229874,Wynn Stirrip,33 Kings Crossing,7000000,8000000,18,wirausaha,673,baik,2025-05-15
